faculty_id,review_id,uid,c_code,overall_rating,difficulty_rating,upvotes,downvotes,report_count,semester_period,student_thoughts,teaching_quality
1,,2,,3,3,,,,,,2
5,,2,,4,4,,,,,,5
7,,2,,4,5,,,,,,3
8,,2,,2,3,,,,,,2
9,,2,,1,5,,,,,,1
10,,2,,4,4,,,,,,4
11,,2,,4,4,,,,,,4
12,,2,,1,4,,,,,,1
14,,2,,4,5,,,,,,4
17,,2,,4,5,,,,,,4
18,,2,,3,4,,,,,,1
19,,2,,4,5,,,,,,4
5,,3,,4,5,,,,,,5
6,,3,,3,3,,,,,,4
7,,3,,5,5,,,,,,5
8,,3,,2,1,,,,,,2
9,,3,,1,5,,,,,,1
10,,3,,4,5,,,,,,4
11,,3,,3,5,,,,,,5
12,,3,,3,1,,,,,,2
13,,3,,2,5,,,,,,1
15,,3,,5,3,,,,,,5
17,,3,,5,2,,,,,,5
18,,3,,1,5,,,,,,1
19,,3,,4,4,,,,,,4
22,,3,,5,4,,,,,,5
6,,4,,4,3,,,,,,4
7,,4,,5,1,,,,,,5
8,,4,,,4,,,,,,1
9,,4,,1,5,,,,,,1
10,,4,,3,4,,,,,,4
11,,4,,5,3,,,,,,5
12,,4,,4,2,,,,,,2
13,,4,,1,3,,,,,,1
14,,4,,5,4,,,,,,5
15,,4,,5,1,,,,,,5
17,,4,,5,1,,,,,,5
18,,4,,1,3,,,,,,1
19,,4,,5,3,,,,,,5
5,,5,,4,4,,,,,,5
6,,5,,1,5,,,,,,1
7,,5,,3,3,,,,,,4
8,,5,,3,4,,,,,,2
9,,5,,5,1,,,,,,5
10,,5,,4,3,,,,,,4
13,,5,,2,3,,,,,,1
14,,5,,4,4,,,,,,5
15,,5,,5,3,,,,,,5
17,,5,,5,3,,,,,,5
19,,5,,2,5,,,,,,3
22,,5,,4,3,,,,,,4
5,,6,,4,4,,,,,,4
6,,6,,4,2,,,,,,4
7,,6,,5,2,,,,,,4
8,,6,,1,2,,,,,,1
9,,6,,1,5,,,,,,1
10,,6,,4,5,,,,,,4
11,,6,,4,4,,,,,,4
12,,6,,2,4,,,,,,2
13,,6,,2,4,,,,,,2
14,,6,,4,4,,,,,,4
15,,6,,5,1,,,,,,5
17,,6,,5,2,,,,,,5
18,,6,,1,3,,,,,,1
19,,6,,3,4,,,,,,3
22,,6,,4,3,,,,,,4
1,,7,,1,3,,,,,,1
5,,7,,5,5,,,,,,4
6,,7,,4,2,,,,,,4
7,,7,,3,3,,,,,,3
8,,7,,2,3,,,,,,1
9,,7,,1,4,,,,,,1
10,,7,,3,5,,,,,,5
11,,7,,4,3,,,,,,5
12,,7,,2,4,,,,,,1
13,,7,,2,3,,,,,,1
14,,7,,3,4,,,,,,3
15,,7,,4,3,,,,,,2
17,,7,,5,3,,,,,,4
18,,7,,1,3,,,,,,1
19,,7,,4,4,,,,,,4
22,,7,,4,3,,,,,,4
5,,8,,5,4,,,,,,5
6,,8,,4,2,,,,,,4
7,,8,,5,2,,,,,,5
9,,8,,1,5,,,,,,1
11,,8,,5,4,,,,,,5
12,,8,,2,2,,,,,,2
13,,8,,3,3,,,,,,2
14,,8,,4,3,,,,,,5
15,,8,,4,2,,,,,,5
17,,8,,5,1,,,,,,5
18,,8,,1,2,,,,,,1
19,,8,,5,5,,,,,,5
22,,8,,5,2,,,,,,5