First Name,Last Name,Rank,Department,Research Area,PhD From,Image
Anastasios,Dimitriou,Professor,Computer Engineering,"Theoretical Computer Science:Computer and
Network Security",University of California,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw146842.png
Anwar,Alyatama,Professor,Computer Engineering,Computer Networks,Georgia Institute of Technology,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw147672.jpg
Asaad,Alrashed,Professor,Computer Engineering,Computer Architecture,University of Southern California,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw147674.jpg
Ayed,Salman,Professor,Computer Engineering,Data Mining:Security,Syracuse University,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw146844.jpg
Fawaz,Alanzi,Professor,Computer Engineering,,Rensselaer Polytechnic Institute,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw146849.jpg
Hamed,Alazmi,Professor,Computer Engineering,,University of Washington,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw109916.jpg
Imtiaz,Ahmed,Professor,Computer Engineering,Parallel and Distributed Computing,Syracuse University,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw201881.jpg
Maytham,Safar,Professor,Computer Engineering,Computer Networks,University of Southern California,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw109661.jpg
Mehmet,Karaata,Professor,Computer Engineering,,The University of Iowa,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw201882.jpg
Sami,Habib,Professor,Computer Engineering,,University of Southern California,
Abdulaziz,Boujarwah,Associate Professor,Computer Engineering,,University of Miami,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw147692.jpg
Abdullah,Almutawa,Associate Professor,Computer Engineering,,Syracuse University,
Asmaa,Alsumait,Associate Professor,Computer Engineering,Human Computer Interaction,Concordia University,
Ebrahim,Alrashed,Associate Professor,Computer Engineering,Computer Networks,University of Southern California,
Khaled,Alsaqabi,Associate Professor,Computer Engineering,,North Carolina State University,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw201883.jpg
Mansour,Jaragh,Associate Professor,Computer Engineering,,New Mexico State University,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw147665.jpg
Mohammad,Awad,Associate Professor,Computer Engineering,Computer Networks,University of Waterloo,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw146846.jpg
Mohammad,Alfailakawi,Associate Professor,Computer Engineering,,University of Wisconsin-Madison,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw118248.jpg
Mohammad,Alshayeji,Associate Professor,Computer Engineering,,University of Southern California,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw109719.jpg
Sabah,Alfedaghi,Associate Professor,Computer Engineering,,Northwestern University,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw109660.jpg
Saeed,Abed,Associate Professor,Computer Engineering,,Concordia University,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw108782.jpg
Sobeeh,Almukhaizim,Associate Professor,Computer Engineering,Computer Architecture,Yale University,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw147697.jpg
Abbas,Fairouz,Assistant Professor,Computer Engineering,,Texas A&M University,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw170396.jpg
Abdullah,Alshaibani,Assistant Professor,Computer Engineering,,Purdue University,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw233288.jpg
Ameer,Mohammed,Assistant Professor,Computer Engineering,Computer Security,University of Virginia,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw147701.jpg
Ammar,Alhusaini,Assistant Professor,Computer Engineering,,,
Buthainah,Alkazemi,Assistant Professor,Computer Engineering,,,
Eman,Alotaibi,Assistant Professor,Computer Engineering,,,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw110696.jpg
Faridah,Ali,Assistant Professor,Computer Engineering,,,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw201884.jpg
Fatma,Alali,Assistant Professor,Computer Engineering,,,
Jassim,Aljuraidan,Assistant Professor,Computer Engineering,,,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw147429.jpg
Khaled,Alzamel,Assistant Professor,Computer Engineering,,,
Khaled,Hadi,Assistant Professor,Computer Engineering,,,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw110698.jpg
Lulwa,Alhubail,Assistant Professor,Computer Engineering,,,
Maha,Faisal,Assistant Professor,Computer Engineering,,,
Mahmoud,Bennaser,Assistant Professor,Computer Engineering,,University of Massachusetts Amherst,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw201885.jpg
Mohammad,Jeragh,Assistant Professor,Computer Engineering,,Syracuse University,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw201886.jpg
Mohammad,Alkandari,Assistant Professor,Computer Engineering,,Virginia Tech,http://kuwebcont.ku.edu.kw/cs/groups/coep/documents/ku_content/kuw146848.png
Mohammad,Allaho,Assistant Professor,Computer Engineering,Data Mining:Artificial Intelligence,,
Munirah,Almatouq,Assistant Professor,Computer Engineering,,,
Reem,Albaghli,Assistant Professor,Computer Engineering,Human Computer Interaction:Software Engineering,University of Colorado Boulder,
Shouq,Alsubaihi,Assistant Professor,Computer Engineering,,University of California Irvine,
Sultan,Alharbi,Assistant Professor,Computer Engineering,,,
Kassem,Saleh,Professor,Information Science,,University of Ottawa,
Paul,Manuel,Professor,Information Science,Graph Algorithms,University of Newcastle,
Sana,Buhamra,Professor,Information Science,Statistics,University of Wyoming,
Dari,Alhuwail,Associate Professor,Information Science,Health Informatics,University of Maryland,
Hanady,Abdulsalam,Associate Professor,Information Science,Data Mining,Queen’s University,
Helal,Alhammadi,Associate Professor,Information Science,Fuzzy Logic,Virginia Tech,
Kalim,Qureshi,Associate Professor,Information Science,Distributed Computing,Mororan Institute of Technology,
Abdullah,Almutairi,Assistant Professor,Information Science,Machine Learning,University of Florida,
Aseel,Almonaies,Assistant Professor,Information Science,Web Applications and Services ,Queen's university,
Bader,Ali,Assistant Professor,Information Science,Distributed Systems,McGill University,
Bader,Alkhazi,Assistant Professor,Information Science,Software Quality and Testing,University of Michigan,
Eiman,Alshammari,Assistant Professor,Information Science,Data Mining,George Mason University,
Fatemah,Husain,Assistant Professor,Information Science,Artificial Intelligence,George Mason University,
Fatima,Boujarwah,Assistant Professor,Information Science,Health Informatics,Georgia Institute of Technology,
Loulwah,Alsumait,Assistant Professor,Information Science,Data mining:Machine Learning,George Mason University,
Naelah,Aldabbous,Assistant Professor,Information Science,Wireless Communications,Newcastle University,
Omar,Alibrahim,Assistant Professor,Information Science,Security,Southern Methodist University,
Ranya,Alawadhi,Assistant Professor,Information Science,Security,Southern Methodist University,
Safaa,Zaman,Assistant Professor,Information Science,Intrusion Detection Systems,University of Waterloo,
Shaikha,Alduaij,Assistant Professor,Information Science,Data Mining:Cyber Security:Health Informatics,University of Maryland,
Zahraa,Marafie,Assistant Professor,Information Science,Internet-of-Things,University of California Irvine,
Zainab,Aljazzaf,Assistant Professor,Information Science,Web Services,The University of Western Ontario,
Zainab,Almeraj,Assistant Professor,Information Science,Computer Graphics:Human Computer Interaction,University of Waterloo,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,, ,,,,